06-14 17:25:54.614	tUHM:TWatchManagerApplication.onCreate
06-14 17:25:54.625	tUHM:TWatchManagerApplication.AppVersion : 2.2.20.17113061
06-14 17:25:54.632	tUHM:SetupWizardWelcomeActivity.UHM onCreate() Intent: Intent { act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10200000 cmp=com.samsung.android.app.watchmanager/.setupwizard.SetupWizardWelcomeActivity launchParam=MultiScreenLaunchParams { mDisplayId=0 mFlags=0 } bnds=[694,471][949,789] (has extras) }
06-14 17:25:54.633	tUHM:SetupWizardWelcomeActivity.UHM onCreate() Bundle: null
06-14 17:25:54.633	tUHM:SetupWizardWelcomeActivity.density [3.0], densityDpi [480], heightPixels [1920], widthPixels [1080]
06-14 17:25:54.642	tUHM:TWatchManagerApplication.getAppContext()
06-14 17:25:54.642	tUHM:TWatchManagerApplication.mAppContext = com.samsung.android.app.twatchmanager.TWatchManagerApplication@519f66b
06-14 17:25:54.643	tUHM:InstallationUtils.hasInstallPermission() return:true
06-14 17:25:54.643	tUHM:HostManagerUtils.isSamsungDeviceWithCustomBinary, res [false]
06-14 17:25:54.643	tUHM:TWatchManagerApplication.getAppContext()
06-14 17:25:54.643	tUHM:TWatchManagerApplication.mAppContext = com.samsung.android.app.twatchmanager.TWatchManagerApplication@519f66b
06-14 17:25:54.644	tUHM:HostManagerUtils.isMaximumPowerSavingMode, res [false]
06-14 17:25:54.644	tUHM:SetupWizardWelcomeActivity.printDB starts
06-14 17:25:54.644	tUHM:SetupWizardWelcomeActivity.getAllDeviceRegistryData()
06-14 17:25:54.644	tUHM:RegistryDbManagerWithProvider.queryAllDeviceRegistryData:
06-14 17:25:54.714	tUHM:RegistryDbManagerWithProvider.queryAllDeviceRegistryData, size = 0
06-14 17:25:54.714	tUHM:SetupWizardWelcomeActivity.Print all device data:
06-14 17:25:54.715	tUHM:SetupWizardWelcomeActivity.Print all device data ends
06-14 17:25:54.715	tUHM:SetupWizardWelcomeActivity.printDB ends
06-14 17:25:54.715	tUHM:HostManagerUtils.setStatusBarOpenByNotification(com.samsung.android.app.watchmanager.setupwizard.SetupWizardWelcomeActivity@f748661)
06-14 17:25:54.716	tUHM:SetupWizardWelcomeActivity.isFromPlugin = false, isViaConnectActivity = false, isForceUpdateCheck = false
06-14 17:25:54.719	tUHM:WearableDeviceController.WearableDeviceController
06-14 17:25:54.721	tUHM:InstallationUtils.isLocalInstallation()  returns :false
06-14 17:25:54.721	tUHM:UpdateManager.isUpdateNeeded(), mForceUpdateCheck [false]
06-14 17:25:54.721	tUHM:UpdateUtil.getIsUpdating(com.samsung.android.app.watchmanager.setupwizard.SetupWizardWelcomeActivity@f748661)
06-14 17:25:54.722	tUHM:UpdateUtil.PreviouslyUpdatedAt = 0, currentTimeInMillis = 1529007954722, difference = 1529007954722
06-14 17:25:54.722	tUHM:HostManagerUtils.isfrequentCheckNeeded()
06-14 17:25:54.723	tUHM:HostManagerUtils.isfrequentCheckNeeded(): isFrequentUpdate = [false]
06-14 17:25:54.723	tUHM:UpdateManager.thresholdTime = 43200000, difference = 1529007954722
06-14 17:25:54.723	tUHM:UpdateManager.isUpdateNeeded()-->result = true
06-14 17:25:54.723	tUHM:UpdateManager.init()
06-14 17:25:54.724	tUHM:UpdateManager.[UHM] Current version code = 2117113061, Previous version code = -1
06-14 17:25:54.724	tUHM:UpdateManager.Installer package name com.android.vending
06-14 17:25:54.724	tUHM:UpdateManager.Setting NEED_TO_UPDATE to false; Let's check the Update again.
06-14 17:25:54.725	tUHM:UpdateManager.deleteTempFilesOnUpdate()
06-14 17:25:54.725	tUHM:UpdateUtil.getPathToDownload(com.samsung.android.app.watchmanager.setupwizard.SetupWizardWelcomeActivity@f748661)
06-14 17:25:54.726	tUHM:UpdateUtil.getPathToDownload, file length = 0
06-14 17:25:54.726	tUHM:FileManager.delete(/data/user/0/com.samsung.android.app.watchmanager/files/Download/Update)
06-14 17:25:54.726	tUHM:FileManager.Invalid deletion at: /data/user/0/com.samsung.android.app.watchmanager/files/Download/Update
06-14 17:25:54.726	tUHM:FileManager.delete(/data/user/0/com.samsung.android.app.watchmanager/files/Download/Update)-->result = false
06-14 17:25:54.728	tUHM:FileManager.delete(/storage/emulated/0/Download/Gear)
06-14 17:25:54.729	tUHM:FileManager.Invalid deletion at: /storage/emulated/0/Download/Gear
06-14 17:25:54.729	tUHM:FileManager.delete(/storage/emulated/0/Download/Gear)-->result = false
06-14 17:25:54.729	tUHM:UpdateManager.checkUHMSelfUpdate()
06-14 17:25:54.729	tUHM:UpdateUtil.getIsUHMSelfUpdate(com.samsung.android.app.watchmanager.setupwizard.SetupWizardWelcomeActivity@f748661)
06-14 17:25:54.730	tUHM:UpdateManager.update::checkUHMSelfUpdate()::is_plugin_update_remain = false
06-14 17:25:54.730	tUHM:UpdateManager.checkUHMSelfUpdate(), isUHMUpdated [false]
06-14 17:25:54.731	tUHM:UpdateUtil.getPathToDownload(com.samsung.android.app.watchmanager.setupwizard.SetupWizardWelcomeActivity@f748661)
